date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2018-06-26,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2018-06-26,1,1012.5,1015.3,--,23.0,20.9,24.7,88,2.6,北北東,,,×,×,,,
2018-06-26,2,1012.7,1015.5,--,22.7,19.7,22.9,83,1.9,北,,,×,×,,,
2018-06-26,3,1012.7,1015.5,--,22.5,18.7,21.5,79,1.6,北西,,,×,×,,10,10.0
2018-06-26,4,1012.8,1015.6,--,22.4,18.4,21.1,78,2.5,北西,,0.00,×,×,,,
2018-06-26,5,1013.0,1015.8,--,22.4,18.8,21.7,80,1.4,北東,0.0,0.01,×,×,,,
2018-06-26,6,1013.2,1016.0,--,22.5,18.5,21.3,78,1.2,北北東,0.0,0.15,×,×,,10-,15.0
2018-06-26,7,1013.4,1016.2,--,23.5,19.0,22.0,76,1.1,北西,0.1,0.55,×,×,,,
2018-06-26,8,1013.3,1016.1,--,24.9,19.3,22.4,71,1.4,西,0.8,1.67,×,×,,,
2018-06-26,9,1012.7,1015.5,--,26.1,19.0,22.0,65,1.9,北東,1.0,2.40,×,×,,0+,25.0
2018-06-26,10,1012.4,1015.1,--,28.5,20.8,24.5,63,2.0,東,1.0,2.91,×,×,,,
2018-06-26,11,1011.7,1014.4,--,28.8,21.3,25.4,64,4.3,南東,1.0,3.31,×,×,,,
2018-06-26,12,1011.3,1014.0,--,29.5,22.5,27.2,66,4.2,南南東,1.0,3.31,×,×,,6,15.0
2018-06-26,13,1010.8,1013.5,--,29.0,20.7,24.4,61,5.1,南東,1.0,3.25,×,×,,,
2018-06-26,14,1010.4,1013.1,--,28.7,22.2,26.8,68,6.1,南東,1.0,2.85,×,×,,,
2018-06-26,15,1010.0,1012.7,--,27.7,22.4,27.1,73,5.3,南東,0.7,1.79,×,×,,10-,20.0
2018-06-26,16,1010.0,1012.8,--,27.4,23.0,28.1,77,7.2,南,0.4,1.42,×,×,,,
2018-06-26,17,1009.6,1012.4,--,27.0,22.2,26.8,75,5.1,南東,0.9,1.22,×,×,,,
2018-06-26,18,1009.3,1012.1,--,26.7,21.9,26.3,75,5.4,南,0.3,0.44,×,×,,10-,20.0
2018-06-26,19,1009.2,1012.0,--,26.0,21.7,25.9,77,5.3,南,0.0,0.16,×,×,,,
2018-06-26,20,1008.9,1011.7,--,25.6,21.9,26.3,80,6.6,南南西,,0.00,×,×,,,
2018-06-26,21,1009.1,1011.9,--,25.6,21.7,25.9,79,5.8,南南西,,,×,×,,10-,20.0
2018-06-26,22,1008.9,1011.7,--,25.2,21.7,26.0,81,4.5,南南西,,,×,×,,,
2018-06-26,23,1008.2,1011.0,--,25.5,21.8,26.1,80,5.1,南,,,×,×,,,
2018-06-26,24,1007.5,1010.3,--,25.6,21.9,26.3,80,6.6,南南西,,,×,×,,,
